0,Ht.no,Subcode,Subname,Grade,Credits
843,F7,s6,s6,A,3
844,F7,s3,s3 Lab,O,2
845,F7,s1,s1 Lab,O,2
846,F7,iv,iv,O,2
847,F8,s1,s1,C,3
848,F8,s2,s2,C,3
849,F8,s3,s3,B,3
850,F8,s4,s4,B,3
851,F8,s5,s5,B,3
852,F8,s6,s6,C,3
853,F8,s3,s3 Lab,B,2
854,F8,s1,s1 Lab,O,2
855,F8,iv,iv,B,2
856,F9,s1,s1,C,3
857,F9,s2,s2,C,3
858,F9,s3,s3,A,3
859,F9,s4,s4,B,3
860,F9,s5,s5,C,3
861,F9,s6,s6,C,3
862,F9,s3,s3 Lab,A,2
863,F9,s1,s1 Lab,O,2
864,F9,iv,iv,A,2
865,G0,s1,s1,D,3
866,G0,s2,s2,D,3
867,G0,s3,s3,D,3
868,G0,s4,s4,D,3
869,G0,s5,s5,F,0
870,G0,s6,s6,F,0
871,G0,s3,s3 Lab,B,2
872,G0,s1,s1 Lab,O,2
873,G0,iv,iv,C,2
874,G1,s1,s1,A,3
875,G1,s2,s2,C,3
876,G1,s3,s3,A,3
877,G1,s4,s4,A,3
878,G1,s5,s5,B,3
879,G1,s6,s6,C,3
880,G1,s3,s3 Lab,O,2
881,G1,s1,s1 Lab,A,2
882,G1,iv,iv,O,2
883,G2,s1,s1,B,3
884,G2,s2,s2,D,3
885,G2,s3,s3,C,3
886,G2,s4,s4,C,3
887,G2,s5,s5,C,3
888,G2,s6,s6,C,3
889,G2,s3,s3 Lab,A,2
890,G2,s1,s1 Lab,O,2
891,G2,iv,iv,O,2
892,G3,s1,s1,B,3
893,G3,s2,s2,C,3
894,G3,s3,s3,A,3
895,G3,s4,s4,A,3
896,G3,s5,s5,C,3
897,G3,s6,s6,D,3
898,G3,s3,s3 Lab,A,2
899,G3,s1,s1 Lab,A,2
900,G3,iv,iv,O,2
901,G4,s1,s1,D,3
902,G4,s2,s2,D,3
